Arquivo;Capítulo;Página;Seção Pai;Tipo Elemento;Tamanho Texto;Motivo do Alerta;Prévia do Texto
Part_III_Cap_25_A Pan-Amazonian sustainable development vision.json;25;6;General Content;CompositeElement;599;General Content em página avançada (Falha na extração de título?);● The Living Amazon Vision presented in this chapter has resulted from consultations with scientists and authors of the ...
Part_III_Cap_25_A Pan-Amazonian sustainable development vision.json;25;7;Abstract;CompositeElement;146;Densidade de espaços muito baixa (Palavras coladas?);Keywords: Sustainability, Amazonian worldviews, bioeconomy, social justice, ecological integrity, environmental protecti...
Part_III_Cap_25_A Pan-Amazonian sustainable development vision.json;25;24;Signaling Urgency;CompositeElement;26;Texto muito curto (Possível lixo de OCR);25.4.1.6 Signaling Urgency
Part_III_Cap_26_Sustainable Development Goals (SDGs) and the Amazon.json;26;14;SDG 6: Clean Water;CompositeElement;27;Texto muito curto (Possível lixo de OCR);26.2.2.1 SDG 6: Clean Water
Part_III_Cap_26_Sustainable Development Goals (SDGs) and the Amazon.json;26;33;References;CompositeElement;102;Densidade de espaços muito baixa (Palavras coladas?);sustainable development paradigm. Proc Natl Acad Sci 113: 10759–68. https://www.uclg.org/en/node/29461
Part_III_Cap_26_Sustainable Development Goals (SDGs) and the Amazon.json;26;33;References;CompositeElement;140;Densidade de espaços muito baixa (Palavras coladas?);the Amazon in the rainforest. Available at: https://www.worldwaterweek.org/event/9163-noamazoniano-water-climate-change-...
Part_III_Cap_27_Conservation measures to counter the main threats to Amazonian biodiversity.json;27;8;Illegal wildlife trade;CompositeElement;29;Texto muito curto (Possível lixo de OCR);27.3.3 Illegal wildlife trade
Part_III_Cap_28_Restoration options for the Amazon.json;28;10;Restoration of vegetation on deforested land;CompositeElement;28;Texto muito curto (Possível lixo de OCR);the successional trajectory.
Part_III_Cap_28_Restoration options for the Amazon.json;28;16;Farm fallow systems;CompositeElement;28;Texto muito curto (Possível lixo de OCR);28.3.4.3 Farm fallow systems
Part_III_Cap_28_Restoration options for the Amazon.json;28;18;Restoration after pollution;CompositeElement;29;Texto muito curto (Possível lixo de OCR);(Alvarez-Risco et al., 2020).
Part_III_Cap_29_Restoration priorities and benefits within landscapes and catchments and across the Amazon Basin.json;29;12;Landscape and catchment approaches to restoration and conservation;CompositeElement;25;Texto muito curto (Possível lixo de OCR);Jackson, 2012). According
Part_III_Cap_30_Opportunities and challenges for a healthy standing forest and flowing rivers bioeconomy in the Amazon.json;30;6;Abstract;CompositeElement;101;Densidade de espaços muito baixa (Palavras coladas?);Keywords: Bioeconomy, socio-biodiversity, standing forests, flowing rivers, tropical forests, Amazon.
Part_III_Cap_30_Opportunities and challenges for a healthy standing forest and flowing rivers bioeconomy in the Amazon.json;30;20;Timber and Wood;CompositeElement;25;Texto muito curto (Possível lixo de OCR);and ecotourism potential.
Part_III_Cap_30_Opportunities and challenges for a healthy standing forest and flowing rivers bioeconomy in the Amazon.json;30;44;Science, Technology, and Innovation;CompositeElement;29;Texto muito curto (Possível lixo de OCR);is a very promising strategy.
Part_III_Cap_30_Opportunities and challenges for a healthy standing forest and flowing rivers bioeconomy in the Amazon.json;30;46;Conclusions;CompositeElement;121;Densidade de espaços muito baixa (Palavras coladas?);to guarantee the sustainable development—and ultimately the survival—of the invaluable Amazonian socioecological systems...
Part_III_Cap_30_Opportunities and challenges for a healthy standing forest and flowing rivers bioeconomy in the Amazon.json;30;48;References;CompositeElement;363;Densidade de espaços muito baixa (Palavras coladas?);Cavalcante PB. 1979. Frutas comestiveis na Amazonia. Museu Coslovsky S. 2021. Oportunidades para Exportação de Produtos ...
Part_III_Cap_30_Opportunities and challenges for a healthy standing forest and flowing rivers bioeconomy in the Amazon.json;30;51;References;CompositeElement;964;Densidade de espaços muito baixa (Palavras coladas?);National Academy of Sciences. 1975. Underexploited tropical plants with promising economic value. Washington, DC: Nation...
Part_III_Cap_31_Strengthening land and natural resource governance and management Protected areas, Indigenous lands, and local communities’ territories.json;31;8;Colombia 39 89,091 4.9;CompositeElement;27;Texto muito curto (Possível lixo de OCR);24.3 Colombia 39 89,091 4.9
Part_III_Cap_31_Strengthening land and natural resource governance and management Protected areas, Indigenous lands, and local communities’ territories.json;31;8;Ecuador 26 35,487 2.6;CompositeElement;26;Texto muito curto (Possível lixo de OCR);26.0 Ecuador 26 35,487 2.6
Part_III_Cap_31_Strengthening land and natural resource governance and management Protected areas, Indigenous lands, and local communities’ territories.json;31;8;Venezuela 6 23,838 1.3;CompositeElement;27;Texto muito curto (Possível lixo de OCR);21.1 Venezuela 6 23,838 1.3
Part_III_Cap_31_Strengthening land and natural resource governance and management Protected areas, Indigenous lands, and local communities’ territories.json;31;17;Life Plans and Territorial and Environmental Management Plans;CompositeElement;26;Texto muito curto (Possível lixo de OCR);implemented and sustained.
Part_III_Cap_31_Strengthening land and natural resource governance and management Protected areas, Indigenous lands, and local communities’ territories.json;31;20;Macro-territory of the People of Yurupari (Departments of Vaupés and Amazonas, Colombia): Traditiona;CompositeElement;311;Densidade de espaços muito baixa (Palavras coladas?);ee See Sentencia 4360 de 2018, https://cortesuprema.gov.co/corte/index.php/2018/04/05/corte-suprema-ordena-proteccion-in...
Part_III_Cap_33_Connecting and sharing diverse knowledges to support sustainable pathways in the Amazon.json;33;28;Illustrative experiences;CompositeElement;721;Densidade de espaços muito baixa (Palavras coladas?);References Castaño Uribe, Carlos, Parques Nacionales Naturales de Colombia, and Instituto Colombiano de Antropología e H...
Part_III_Cap_34_Boosting relations between the Amazon forest and its globalizing cities.json;34;9;Spatial influence of large and medium-sized cities of the Brazilian Amazon. Note the huge area of in;CompositeElement;29;Texto muito curto (Possível lixo de OCR);Forest and Globalizing Cities
Part_III_Cap_34_Boosting relations between the Amazon forest and its globalizing cities.json;34;25;Health and Healing;CompositeElement;29;Texto muito curto (Possível lixo de OCR);Forest and Globalizing Cities
Part_II_Cap_14_Amazon in Motion Changing Politics, Development Strategies, Peoples, Landscapes, and Livelihoods.json;14;6;Abstract;CompositeElement;136;Densidade de espaços muito baixa (Palavras coladas?);Keywords: Development policy, globalization, urbanization, settlement, clandestine economy, deforestation, roads, dams, ...
Part_II_Cap_14_Amazon in Motion Changing Politics, Development Strategies, Peoples, Landscapes, and Livelihoods.json;14;62;References;CompositeElement;399;Densidade de espaços muito baixa (Palavras coladas?);Chapter 14: The Amazon in Motion: Changing Politics, Development Strategies, Peoples, Landscapes, and Livelihoods Neo Mo...
Part_II_Cap_15_Complex, Diverse, and Changing Agribusiness and Livelihood Systems in the Amazon.json;15;6;Abstract;CompositeElement;172;Densidade de espaços muito baixa (Palavras coladas?);Keywords: Production trajectories, livelihoods, agriculture, livestock, agroforestry, fisheries, forest management, logg...
Part_II_Cap_15_Complex, Diverse, and Changing Agribusiness and Livelihood Systems in the Amazon.json;15;25;Shifts in land ownership in wage-based PTs, 1995-2017 (millions of hectares). Source: IBGE, Agricult;CompositeElement;29;Texto muito curto (Possível lixo de OCR);"Nehring 2016; Oliveira 2016)."
Part_II_Cap_15_Complex, Diverse, and Changing Agribusiness and Livelihood Systems in the Amazon.json;15;40;Fisheries development;CompositeElement;28;Texto muito curto (Possível lixo de OCR);15.4.2 Fisheries development
Part_II_Cap_16_The State of Conservation Policies, Protected Areas, and Indigenous Territories, from the Past to the Present.json;16;10;Colombia 39 89,091 4.9;CompositeElement;27;Texto muito curto (Possível lixo de OCR);24.3 Colombia 39 89,091 4.9
Part_II_Cap_16_The State of Conservation Policies, Protected Areas, and Indigenous Territories, from the Past to the Present.json;16;10;Ecuador 26 35,487 2.6;CompositeElement;26;Texto muito curto (Possível lixo de OCR);26.0 Ecuador 26 35,487 2.6
Part_II_Cap_16_The State of Conservation Policies, Protected Areas, and Indigenous Territories, from the Past to the Present.json;16;10;Peru 66 203,916 11.2;CompositeElement;25;Texto muito curto (Possível lixo de OCR);50.7 Peru 66 203,916 11.2
Part_II_Cap_16_The State of Conservation Policies, Protected Areas, and Indigenous Territories, from the Past to the Present.json;16;10;Venezuela 6 23,838 1.3;CompositeElement;27;Texto muito curto (Possível lixo de OCR);21.1 Venezuela 6 23,838 1.3
Part_II_Cap_16_The State of Conservation Policies, Protected Areas, and Indigenous Territories, from the Past to the Present.json;16;17;Indirect use 12.6 22.3;CompositeElement;27;Texto muito curto (Possível lixo de OCR);59.6 Indirect use 12.6 22.3
Part_II_Cap_16_The State of Conservation Policies, Protected Areas, and Indigenous Territories, from the Past to the Present.json;16;17;Departmental 11.8 28.6;CompositeElement;27;Texto muito curto (Possível lixo de OCR);24.2 Departmental 11.8 28.6
Part_II_Cap_16_The State of Conservation Policies, Protected Areas, and Indigenous Territories, from the Past to the Present.json;16;17;Indirect use 0.4 6.8;CompositeElement;25;Texto muito curto (Possível lixo de OCR);40.4 Indirect use 0.4 6.8
Part_II_Cap_16_The State of Conservation Policies, Protected Areas, and Indigenous Territories, from the Past to the Present.json;16;18;Indigenous Territories;CompositeElement;29;Texto muito curto (Possível lixo de OCR);16.1.2 Indigenous Territories
Part_II_Cap_16_The State of Conservation Policies, Protected Areas, and Indigenous Territories, from the Past to the Present.json;16;18;Amazon Basin 6.443;CompositeElement;25;Texto muito curto (Possível lixo de OCR);29.259 Amazon Basin 6.443
Part_II_Cap_16_The State of Conservation Policies, Protected Areas, and Indigenous Territories, from the Past to the Present.json;16;20;Ecuador 51.804 10.222;CompositeElement;29;Texto muito curto (Possível lixo de OCR);185.852 Ecuador 51.804 10.222
Part_II_Cap_16_The State of Conservation Policies, Protected Areas, and Indigenous Territories, from the Past to the Present.json;16;21;Existing policies for Indigenous Peoples in voluntary isolation (PIAV and PIACI, acronyms in Spanish;CompositeElement;25;Texto muito curto (Possível lixo de OCR);recognized temporarily or
Part_II_Cap_16_The State of Conservation Policies, Protected Areas, and Indigenous Territories, from the Past to the Present.json;16;27;Ecological and sociocultural connectivity corridors initiatives and protection figures coordination;CompositeElement;116;Densidade de espaços muito baixa (Palavras coladas?);16.2 Ecological and sociocultural connectivity corridors initiatives and protection figures coordination initiatives
Part_II_Cap_16_The State of Conservation Policies, Protected Areas, and Indigenous Territories, from the Past to the Present.json;16;28;Ecological and sociocultural connectivity corridors initiatives and protection figures coordination;CompositeElement;107;Densidade de espaços muito baixa (Palavras coladas?);Precedents for an Andean-Amazon connectivity regulation. Sangay-Podocarpus connectivity corridor in Ecuador
Part_II_Cap_17_Globalization, Extractivism, and Social Exclusion Threats and Opportunities to Amazon Governance in Brazil.json;17;7;The Political Economy of the Amazon: An Overview;CompositeElement;29;Texto muito curto (Possível lixo de OCR);by 2,000%) (Bebbington 2011).
Part_II_Cap_17_Globalization, Extractivism, and Social Exclusion Threats and Opportunities to Amazon Governance in Brazil.json;17;13;Ecuador First Crude oil *;CompositeElement;29;Texto muito curto (Possível lixo de OCR);5.8 Ecuador First Crude oil *
Part_II_Cap_17_Globalization, Extractivism, and Social Exclusion Threats and Opportunities to Amazon Governance in Brazil.json;17;13;Suriname First Gold *;CompositeElement;25;Texto muito curto (Possível lixo de OCR);6.6 Suriname First Gold *
Part_II_Cap_17_Globalization, Extractivism, and Social Exclusion Threats and Opportunities to Amazon Governance in Brazil.json;17;13;Manufactures share in Exports (%). Source: World Bank, World Development Indicators, 2020. https://d;CompositeElement;162;Densidade de espaços muito baixa (Palavras coladas?);17.6 Manufactures share in Exports (%). Source: World Bank, World Development Indicators, 2020. https://databank.worldba...
Part_II_Cap_17_Globalization, Extractivism, and Social Exclusion Threats and Opportunities to Amazon Governance in Brazil.json;17;30;References;CompositeElement;911;Densidade de espaços muito baixa (Palavras coladas?);"Borges A. Confira a lista das 67 unidades de conservação que o governo federal quer reduzir. Estadão, (2019); https://su..."
Part_II_Cap_17_Globalization, Extractivism, and Social Exclusion Threats and Opportunities to Amazon Governance in Brazil.json;17;31;References;CompositeElement;575;Densidade de espaços muito baixa (Palavras coladas?);https://science.sciencemag.org/content/sci/369/6502/379.full.pdf?__cf_chl_jschl_tk__=13e82 a7fed8272d2c92d612c74ff158b42...
Part_II_Cap_17_Globalization, Extractivism, and Social Exclusion Threats and Opportunities to Amazon Governance in Brazil.json;17;31;References;CompositeElement;906;Densidade de espaços muito baixa (Palavras coladas?);IEA (2021). Net Zero by 2050: A Roadmap for the Global Energy the State of Mato Grosso. Global Economic Governance IniSe...
Part_II_Cap_17_Globalization, Extractivism, and Social Exclusion Threats and Opportunities to Amazon Governance in Brazil.json;17;31;References;CompositeElement;964;Densidade de espaços muito baixa (Palavras coladas?);IMF Prices. Primary Commodity https://www.imf.org/en/Research/commodity-prices. IMF (2020). World Economic Output, April...
Part_II_Cap_17_Globalization, Extractivism, and Social Exclusion Threats and Opportunities to Amazon Governance in Brazil.json;17;32;References;CompositeElement;809;Densidade de espaços muito baixa (Palavras coladas?);Kothari, Ashish et al (eds) (2019). Pluriverse: A Post-development Dictionary. New Delhi, Tulika Books. https://www.amaz...
Part_II_Cap_17_Globalization, Extractivism, and Social Exclusion Threats and Opportunities to Amazon Governance in Brazil.json;17;33;References;CompositeElement;826;Densidade de espaços muito baixa (Palavras coladas?);Ottoni, Guilherme, Machado Ana and Amaral, Pedro 2017. “Vulnerability to Poverty in Brazilian Municipalities in 2000 and...
Part_II_Cap_17_Globalization, Extractivism, and Social Exclusion Threats and Opportunities to Amazon Governance in Brazil.json;17;34;References;CompositeElement;947;Densidade de espaços muito baixa (Palavras coladas?);Trancoso, R. “Changing Amazon Deforestation Patterns: Urgent Need to Restore Command and Control Policies and Market Int...
Part_II_Cap_17_Globalization, Extractivism, and Social Exclusion Threats and Opportunities to Amazon Governance in Brazil.json;17;34;References;CompositeElement;891;Densidade de espaços muito baixa (Palavras coladas?);Viola, Eduardo. (1988). The ecologist movement in Brazil (1974– 1986): from environmentalism to ecopolitics. Internation...
Part_II_Cap_18_Globalization, Extractivism, and Social Exclusion Country-Specific Manifestations.json;18;13;Accumulated deforestation top ten Departments in Colombia: 2015–2019. Source: Colombian Institute of;CompositeElement;171;Densidade de espaços muito baixa (Palavras coladas?);18.8 Accumulated deforestation top ten Departments in Colombia: 2015–2019. Source: Colombian Institute of Environmental ...
